번호,웹하드번호,도서명,작가,출판사,ISBN
167,,오빠 때문에 걸린 감기,이영애,노루궁뎅이,9788967650100
168,,오빠가 준비한 파티,노루궁뎅이 창작교실,노루궁뎅이,9788967653187
169,,온조가 세운 백제는 어떻게 시작했을까?,노루궁뎅이 창작교실,노루궁뎅이,9788967653446
170,,왕따 가시내,"김후란, 문효치, 이성교",노루궁뎅이,9788967653224
171,,우리 역사 발해,노루궁뎅이 창작교실,노루궁뎅이,9788967653415
172,,우리 집 식구들,현길언,노루궁뎅이,9788967653231
173,,입술공주 검지공주,노루궁뎅이 창작교실,노루궁뎅이,9788996751311
174,,점박이가 대장 되던 날,이영애,노루궁뎅이,9788967650094
175,,조선왕조실록(상),한국문학원,노루궁뎅이,9788967651374
176,,조선왕조실록(중),한국문학원,노루궁뎅이,9788967651381
177,,조선왕조실록(하),한국문학원,노루궁뎅이,9788967651398
178,,조심해! 우리 집이 조마조마 : 생활 안전-가정 안전,노루궁뎅이 창작교실,노루궁뎅이,9788967652968
179,,주몽,이종은,노루궁뎅이,9788967650056
180,,주몽이 세운 고구려는 어떻게 시작했을까?,노루궁뎅이 창작교실,노루궁뎅이,9788967653439
181,,진짜 진짜 착한 어린이상 : 나는 내가 자랑스러워!,이종은,노루궁뎅이,9788967653200
182,,친구와 꽃은 왜 똑같을까?,노루궁뎅이 창작교실,노루궁뎅이,9788967653213
183,,큰일났다! 무서운 괴물이 공격했어 : 재난 안전,노루궁뎅이 창작교실,노루궁뎅이,9788967653033
184,,토모의 멋진 탐험,노루궁뎅이 창작교실,노루궁뎅이,9788967652111
185,,통영 소년,김춘수,노루궁뎅이,9788967653361
186,,통일 신라는 어떻게 하나가 됐을까?,노루궁뎅이 창작교실,노루궁뎅이,9788967653576
187,,통일 신라는 왜 멸망하고 말았을까?,노루궁뎅이 창작교실,노루궁뎅이,9788967653590
188,,통일 신라는 왜 점점 힘이 약해졌을까?,노루궁뎅이 창작교실,노루궁뎅이,9788967653583
189,,통통할머니의 하루,노루궁뎅이 창작교실,노루궁뎅이,9788967652746
190,,팽순이는 꼴찌가 아니야,이영애,노루궁뎅이,9788967650131
191,,할머니의 특별한 여행,이종은,노루궁뎅이,9788967652142
192,,형의 첫 부탁,노루궁뎅이 창작교실,노루궁뎅이,9788996751359
193,,호란일기 : 남한산성이 알려 주는 병자호란 이야기,"나만갑 기록, 김종윤 편저",노루궁뎅이,9788967653620
194,,황소를 이긴 날,노루궁뎅이 창작교실,노루궁뎅이,9788967652036
195,,서울교대 스토리텔링 수학친구 1학년,서울대교대 초등수학연구회,녹색지팡이,9788994780443
196,,서울교대 스토리텔링 수학친구 2학년,서울대교대 초등수학연구회,녹색지팡이,9788994780450
197,,서울교대 스토리텔링 수학친구 3학년,서울대교대 초등수학연구회,녹색지팡이,9788994780467
198,,서울교대 스토리텔링 수학친구 4학년,서울대교대 초등수학연구회,녹색지팡이,9788994780474
199,,서울교대 스토리텔링 수학친구 5학년,서울대교대 초등수학연구회,녹색지팡이,9788994780702
200,,서울교대 스토리텔링 수학친구 6학년,서울대교대 초등수학연구회,녹색지팡이,9788994780719
201,,세상을 뒤흔든 31인의 바보들,"장 베르나르 푸이, 안 블랑샤르",녹색지팡이,9788991481459
202,,이현세 만화 한국사 바로보기 1 : 선사 시대와 고조선,김미영,녹색지팡이,9788991481015
203,,이현세 만화 한국사 바로보기 10 : 일제 강점기와 광복,"유경원, 권민정  ",녹색지팡이,9788991481107
204,,이현세 만화 한국사 바로보기 11 : 현대 상 1945~1978,"유경원, 권민정  ",녹색지팡이,9788994780375
205,,이현세 만화 한국사 바로보기 12 : 현대 하 1979~2002,"유경원, 권민정  ",녹색지팡이,9788994780382
206,,이현세 만화 한국사 바로보기 2 : 삼국시대 상,김미영,녹색지팡이,9788991481022
207,,이현세 만화 한국사 바로보기 3 : 삼국시대 하,김미영,녹색지팡이,9788991481039
208,,이현세 만화 한국사 바로보기 4 : 남북국 시대,김미영,녹색지팡이,9788991481046
209,,이현세 만화 한국사 바로보기 5 : 고려 시대 상,김미영,녹색지팡이,9788991481053
210,,이현세 만화 한국사 바로보기 6 : 고려 시대 하,김미영,녹색지팡이,9788991481060
211,,이현세 만화 한국사 바로보기 7 : 조선 시대 상,"유경원, 권민정  ",녹색지팡이,9788991481077
212,,이현세 만화 한국사 바로보기 8 : 조선 시대 중,"유경원, 권민정  ",녹색지팡이,9788991481084
213,,이현세 만화 한국사 바로보기 9 : 조선 시대 하,"유경원, 권민정  ",녹색지팡이,9788991481091
214,,일기왕 김동우 : 동화 작가에게 배우는 자신만만 일기 쓰기,이미애,녹색지팡이,9788994780269
215,13,요점정리 명작 요약력 일취월장,정윤경,다봄,9791185018041
216,,의기양양 고사성어 어휘력 일취월장,세사람,다봄,9788996677970
217,,티끌 모아 속담 문장력 일취월장,정윤경,다봄,9788996677987
218,,민주 시민을 키우는 어린이 정치,김은경,리젬,9788992826242
219,,생물의 방어에 숨은 비밀,"최재천, 서수연",리젬,9791185298030
220,,소녀 이야기 : 일본군 위안부 피해자,김준기,리젬,9788992826938
221,,자연의 색이 품은 비밀,"최재천, 서수연",리젬,9788992826907
222,,게임왕,선자은,문학과지성사,9788932023816
223,,기억을 가져온 아이,김려령,문학과지성사,9788932017792
224,,"나의, 블루보리 왕자",오채,문학과지성사,9788932020778
225,,날마다 뽀끄땡스,오채,문학과지성사,9788932018638
226,,내일을 향해 깡통을 차라!,신지영,문학과지성사,9788932023427
227,,동진이는 나보다 용감했다,김경희,문학과지성사,9788932023885
228,,맨홀장군 한새 1,김우경,문학과지성사,9788932022727
229,,맨홀장군 한새 2,김우경,문학과지성사,9788932022734
230,,바위나리와 아기별,마해송,문학과지성사,9788932024134
231,,아빠가 나타났다!,이송현,문학과지성사,9788932019581
232,,안녕 라자드,배봉기,문학과지성사,9788932022192
233,,왕따,이윤학,문학과지성사,9788932017396
234,,요란요란 푸른 아파트,김려령,문학과지성사,9788932019024
235,,웅녀의 시간 여행,배미주,문학과지성사,9788932018447
236,,이모의 꿈꾸는 집,정옥,문학과지성사,9788932020570
237,,찐찐군과 두빵두,김양미,문학과지성사,9788932016993
238,,플로라의 비밀,오진원,문학과지성사,9788932017488
239,,하얀 우산,김덕윤,문학과지성사,9788932020617
240,,행복빌라 미녀 사총사,유영소,문학과지성사,9788932018683
241,,화성에서 온 미루,이성숙,문학과지성사,9788932017426
242,,황금 깃털,정설아,문학과지성사,9788932022994
243,14,가족입니까,김해원 외,바람의아이들,9788994475097
244,,거지 소녀,한박순우,바람의아이들,9788994475127
245,,구멍 난 기억,자비에 로랑 쁘띠,바람의아이들,9788990878724
246,,그 녀석 덕분에,이경혜,바람의아이들,9788994475158
247,,나는 내가 누구인지 말할 수 있었다,미카엘 올리비에,바람의아이들,9788990878762
248,,나는 사고 싶지 않을 권리가 있다,미카엘 올리비에,바람의아이들,9788994475219
249,,눈으로 볼 수 없는 지도,정승희,바람의아이들,9788994475240
250,,"뚱보, 내 인생",미카엘 올리비에,바람의아이들,9788990878076
251,,못 믿겠다고?,루이스 새커,바람의아이들,9788990878229
252,,"바람이 불어, 내가 원치 않아도",이상운,바람의아이들,9788990878793
253,,새미와 푸리,이경화,바람의아이들,9788994475165
254,,생각 중이다,오은영,바람의아이들,9788990878755
255,,세상에서 가장 아름다운 곳,앤 카메론,바람의아이들,9788990878342
256,,숨은 소리 찾기,하신하,바람의아이들,9788994475233
